Job_Roles,text,avg_exp,salary,locations,skills
Machine Learning Engineer,machine learn engineer india israel innovation hub delhi ncr statistical model machine learn python sql predictive analytics,9.5,1000000 - 1800000 ,Delhi NCR,"Statistical Modelling
Machine Learning
Python
SQL
Predictive Analytics"
Analyst,analyst bloom consult service bengaluru computer science sas consult data analyst perl business solutions ruby performance improvement,8.5,Not disclosed,Bengaluru,"Computer science
SAS
Consulting
Data Analyst
Perl
Business solutions
Ruby
Performance improvement"
Machine Learning Engineer,machine learn engineer bidgely technologies private limit bengaluru product management computer science data analysis statistical analysis analytical machine learn intellectual property data mine,5.0,Not disclosed,Bengaluru,"Product management
Computer science
Data analysis
Statistical analysis
Analytical
Machine learning
Intellectual property
Data mining"
Machine Learning Engineer,machine learn engineer execboardinasia bengaluru prototype analytical machine learn package model development analytics,13.0,Not disclosed,Bengaluru,"Prototype
Analytical
Machine learning
Packaging
model development
Analytics"
Data Scientist,data scientist dasceq bengaluru computer science data analysis french network cod predictive model office data mine,0.5,Not disclosed,Bengaluru,"Computer science
Data analysis
French
Networking
Coding
Predictive modeling
MS Office
Data mining"
Analyst,analyst veda semantics bengaluru health insurance analytical relationship build machine learn data collection wellness business development executive customer service,4.0,Not disclosed,Bengaluru,"Health insurance
Analytical
Relationship building
Machine learning
Data collection
Wellness
Business Development Executive
Customer service"
Analyst,analyst esse immigration pvt ltd canada data management data mine data integration sql data quality excel data manipulation analysis,4.5,2500000 - 4000000 ,Canada,"Data Management
Data Mining
Data Integration
SQL
Data Quality
Excel
Data Manipulation
Analysis"
Manager,manager genpact india private limit bengaluru machine learn statistics deep learn recommendation engine exploratory data analysis customer churn data visualization python,8.5,Not disclosed,Bengaluru,"Machine Learning
Statistics
Deep Learning
Recommendation Engine
Exploratory Data Analysis
Customer churning
Data Visualization
Python"
Machine Learning Engineer,machine learn engineer fractal analytics ltd bengaluru supply chain management linux rdbms bfsi consult data structure healthcare,5.0,Not disclosed,Bengaluru,"Supply chain management
Linux
RF
RDBMS
Bfsi
Consulting
Data structures
Healthcare"
Data Scientist,data scientist piramal healthcare vadodara computer science supply chain management prototype simulation machine learn agile analytics sql,4.5,Not disclosed,Vadodara,"Computer science
Supply chain management
Prototype
Simulation
Machine learning
Agile
Analytics
SQL"
Analyst,analyst nandan denim limit ahmedabad data analysis statistical model predictive model nlp artificial intelligence text mine machine learn,7.5,Not disclosed,Ahmedabad,"Data Analysis
Statistical Modeling
Predictive Modeling
R
NLP
Artificial Intelligence
Text Mining
Machine Learning"
Machine Learning Engineer,machine learn engineer datametica solutions pvt ltd pune sas gcp data scientist cloud big data machine learn aws,5.0,Not disclosed,Pune,"R
SAS
GCP
Data Scientist
Cloud
Big Data
Machine Learning
AWS"
Machine Learning Engineer,machine learn engineer fractal bengaluru supply chain management linux rdbms bfsi consult data structure healthcare,5.0,Not disclosed,Bengaluru,"Supply chain management
Linux
RF
RDBMS
Bfsi
Consulting
Data structures
Healthcare"
Machine Learning Engineer,machine learn engineer catalyst bengaluru data science data quality data scientist statistical model statistical analyst machine learn,4.5,Not disclosed,Bengaluru,"Data Science
Data Quality
Data Scientist
Statistical Modeling
Statistical Analyst
Machine Learning"
